"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-07","61","29","35"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-08","56","31",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-09","60","35",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-10","75","38","48"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-11","72","38","39"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-12","50","30","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-13","44","30","33"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-14","54","33","40"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-15","61","36",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-16","62","40",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-17","67","38","48"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-18","80","48","51"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-19","74","43","46"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-20","71","46","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-21","75","49","54"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-22","76","52",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-23","92","51",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-24","77","42","57"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-25","76","43","53"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-26","74","48","51"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-27","80","50","59"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-28","95","59","67"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-29","95","57",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-30","83","48",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-05-31","78","46",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-01","84","50","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-02","86","52","55"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-03","82","55","58"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-04","84","57","60"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-05","94","55",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-06","88","59",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-07","96","59","61"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-08","83","55","59"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-09","98","59","63"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-10","92","59","64"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-11","85","59","61"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-12","76","51",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-13","52","47",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-14","58","47","54"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-15","70","47","60"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-16","82","52","65"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-17","94","55","59"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-18","92","52","60"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-19","90","57",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-20","84","54",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-21","82","61","63"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-22","94","55","62"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-23","95","55","58"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-24","84","54","65"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-25","98","60","66"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-26","99","62",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-27","90","61",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-28","84","54","60"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-29","93","59","66"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-06-30","95","63","67"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-01","95","61","66"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-02","96","66","70"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-03","90","66",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-04","98","63",
